code;nameja;kana
123500;石狩市花川;いしかりしはなかわ
123501;石狩市聚富;いしかりししっぷ
123520;石狩市厚田;いしかりしあつた
123521;石狩市浜益;いしかりしはまます
123522;石狩市花畔;いしかりしばんなぐろ
130320;当別町白樺;とうべつちょうしらかば
130431;新篠津村第４７線;しんしのつむらだいよんじゅうななせん
110100;札幌中央区北２条;さっぽろちゅうおうくきたにじょう
110140;札幌中央区南４条;さっぽろちゅうおうくみなみよじょう
110220;札幌北区太平;さっぽろきたくたいへい
110240;札幌北区篠路;さっぽろきたくしのろ
110241;札幌北区新琴似;さっぽろきたくしんことに
110341;札幌東区元町;さっぽろひがしくもとまち
110441;札幌白石区北郷;さっぽろしろいしくきたごう
110540;札幌豊平区月寒東;さっぽろとよひらくつきさむひがし
110621;札幌南区定山渓温泉;さっぽろみなみくじょうざんけいおんせん
110642;札幌南区川沿;さっぽろみなみくかわぞえ
110643;札幌南区石山;さっぽろみなみくいしやま
110740;札幌西区琴似;さっぽろにしくことに
110840;札幌厚別区もみじ台;さっぽろあつべつくもみじだい
110940;札幌手稲区前田;さっぽろていねくまえだ
121700;江別市高砂町;えべつしたかさごちょう
121720;江別市緑町;えべつしみどりまち
111040;札幌清田区平岡;さっぽろきよたくひらおか
122400;千歳市北栄;ちとせしほくえい
122401;新千歳空港;しんちとせくうこう
122420;千歳市若草;ちとせしわかくさ
122421;千歳市支笏湖温泉;ちとせししこつこおんせん
123100;恵庭市漁平;えにわしいざりだいら
123130;恵庭市京町;えにわしきょうまち
123421;北広島市中の沢;きたひろしましなかのさわ
134601;八雲町上の湯;やくもちょうかみのゆ
134620;八雲町住初町;やくもちょうすみぞめちょう
134621;八雲町熊石雲石町;やくもちょうくまいしうんせきちょう
134720;長万部町平里;おしゃまんべちょうひらさと
120201;函館市尾札部町;はこだてしおさつべちょう
120202;函館市美原;はこだてしみはら
120220;函館市大森町;はこだてしおおもりちょう
120221;函館市泊町;はこだてしとまりまち
120222;函館市新浜町;はこだてししんはまちょう
120223;函館市川汲町;はこだてしかっくみちょう
120231;函館市日ノ浜町;はこだてしひのはまちょう
133701;七飯町桜町;ななえちょうさくらまち
133720;七飯町本町;ななえちょうほんちょう
134320;鹿部町宮浜;しかべちょうみやはま
134503;渡島森町御幸町;おしまもりまちみゆきちょう
134520;渡島森町上台町;おしまもりまちうわだいちょう
134531;渡島森町砂原;おしまもりまちさわら
123632;渡島北斗市中央;おしまほくとしちゅうおう
123633;渡島北斗市本町;おしまほくとしほんちょう
133100;渡島松前町福山;おしままつまえちょうふくやま
133101;渡島松前町清部;おしままつまえちょうきよべ
133220;福島町福島;ふくしまちょうふくしま
133300;知内町小谷石;しりうちちょうこたにいし
133331;知内町重内;しりうちちょうおもない
133421;木古内町木古内;きこないちょうきこない
136101;檜山江差町姥神;ひやまえさしちょううばがみ
136120;檜山江差町中歌町;ひやまえさしちょうなかうたちょう
136220;上ノ国町湯ノ岱;かみのくにちょうゆのたい
136221;上ノ国町小砂子;かみのくにちょうちいさご
136231;上ノ国町大留;かみのくにちょうおおどめ
136320;厚沢部町木間内;あっさぶちょうきまない
136331;厚沢部町新町;あっさぶちょうしんまち
136431;乙部町緑町;おとべちょうみどりまち
137020;今金町今金;いまかねちょういまかね
137100;せたな町北檜山区豊岡;せたなちょうきたひやまくとよおか
137120;せたな町大成区都;せたなちょうたいせいくみやこ
137121;せたな町瀬棚区本町;せたなちょうせたなくほんちょう
137122;せたな町瀬棚区北島歌;せたなちょうせたなくきたしまうた
137131;せたな町北檜山区徳島;せたなちょうきたひやまくとくしま
120300;小樽市勝納町;おたるしかつないちょう
120320;小樽市花園町;おたるしはなぞのちょう
140500;積丹町日司町;しゃこたんちょうひづかちょう
140520;積丹町美国町;しゃこたんちょうびくにちょう
140521;積丹町余別町;しゃこたんちょうよべつちょう
140632;古平町浜町;ふるびらちょうはまちょう
140731;仁木町西町;にきちょうにしまち
140800;余市町朝日町;よいちちょうあさひちょう
140820;余市町浜中町;よいちちょうはまなかちょう
140920;赤井川村赤井川;あかいがわむらあかいがわ
139520;ニセコ町中央通;にせこちょうちゅうおうどおり
139632;真狩村真狩;まっかりむらまっかり
139731;留寿都村留寿都;るすつむらるすつ
139820;喜茂別町喜茂別;きもべつちょうきもべつ
139931;京極町京極;きょうごくちょうきょうごく
140000;倶知安町南１条;くっちゃんちょうみなみいちじょう
140020;倶知安町北４条;くっちゃんちょうきたよじょう
139100;島牧村江ノ島;しままきむらえのしま
139120;島牧村泊;しままきむらとまり
139201;寿都町新栄;すっつちょうしんえい
139220;寿都町渡島;すっつちょうとしま
139321;黒松内町黒松内;くろまつないちょうくろまつない
139420;蘭越町蘭越;らんこしちょうらんこし
140131;共和町南幌似;きょうわちょうみなみほろに
140201;岩内町高台;いわないちょうたかだい
140220;岩内町清住;いわないちょうきよずみ
140331;泊村茅沼村;とまりむらかやぬまむら
