1;北海道;ほっかいどう;Hokkaido
2;青森県;あおもりけん;Aomori Pref.
3;岩手県;いわてけん;Iwate Pref.
4;宮城県;みやぎけん;Miyagi Pref.
5;秋田県;あきたけん;Akita Pref.
6;山形県;やまがたけん;Yamagata Pref.
7;福島県;ふくしまけん;Fukushima Pref.
8;茨城県;いばらきけん;Ibaraki Pref.
9;栃木県;とちぎけん;Tochigi Pref.
10;群馬県;ぐんまけん;Gunma Pref.
11;埼玉県;さいたまけん;Saitama Pref.
12;千葉県;ちばけん;Chiba Pref.
13;東京都;とうきょうと;Tokyo Metropolis
14;神奈川県;かながわけん;Kanagawa Pref.
15;新潟県;にいがたけん;Niigata Pref.
16;富山県;とやまけん;Toyama Pref.
17;石川県;いしかわけん;Ishikawa Pref.
18;福井県;ふくいけん;Fukui Pref.
19;山梨県;やまなしけん;Yamanashi Pref.
20;長野県;ながのけん;Nagano Pref.
21;岐阜県;ぎふけん;Gifu Pref.
22;静岡県;しずおかけん;Shizuoka Pref.
23;愛知県;あいちけん;Aichi Pref.
24;三重県;みえけん;Mie Pref.
25;滋賀県;しがけん;Shiga Pref.
26;京都府;きょうとふ;Kyoto Pref.
27;大阪府;おおさかふ;Osaka Pref.
28;兵庫県;ひょうごけん;Hyogo Pref.
29;奈良県;ならけん;Nara Pref.
30;和歌山県;わかやまけん;Wakayama Pref.
31;鳥取県;とっとりけん;Tottori Pref.
32;島根県;しまねけん;Shimane Pref.
33;岡山県;おかやまけん;Okayama Pref.
34;広島県;ひろしまけん;Hiroshima Pref.
35;山口県;やまぐちけん;Yamaguchi Pref.
36;徳島県;とくしまけん;Tokushima Pref.
37;香川県;かがわけん;Kagawa Pref.
38;愛媛県;えひめけん;Ehime Pref.
39;高知県;こうちけん;Kochi Pref.
40;福岡県;ふくおかけん;Fukuoka Pref.
41;佐賀県;さがけん;Saga Pref.
42;長崎県;ながさきけん;Nagasaki Pref.
43;熊本県;くまもとけん;Kumamoto Pref.
44;大分県;おおいたけん;Oita Pref.
45;宮崎県;みやざきけん;Miyazaki Pref.
46;鹿児島県;かごしまけん;Kagoshima Pref.
47;沖縄県;おきなわけん;Okinawa Pref.
