code;nameja;kana;nameen;lat;lon;citycode;arv
123500;石狩市花川;いしかりしはなかわ;Ishikari City Hanakawa;43.17;141.32;0123500;1.4425
3020120;和歌山市一番丁;わかやましいちばんちょう;Wakayama City Ichibancho;34.23;135.17;3020100;1.7490
3020233;海南市南赤坂;かいなんしみなみあかさか;Kainan City Minamiakasaka;34.16;135.24;3020200;0.5689
3020234;海南市下津;かいなんししもつ;Kainan City Shimotsu;34.11;135.15;3020200;1.3879
3020330;橋本市東家;はしもとしとうげ;Hashimoto City Toge;34.31;135.61;3020300;1.0432
3020332;橋本市高野口町名倉;はしもとしこうやぐちちょうなぐら;Hashimoto City Koyaguchi Town Nagura;34.31;135.56;3020300;1.1265
3020401;有田市箕島;ありだしみのしま;Arida City Minoshima;34.08;135.13;3020400;1.7490
3020420;有田市初島町;ありだしはつしまちょう;Arida City Hatsushima Town;34.10;135.12;3020400;1.4425
3020500;御坊市薗;ごぼうしその;Gobo City Sono;33.89;135.16;3020500;1.8494
3020520;御坊市湯川;ごぼうしゆかわ;Gobo City Yukawa;33.91;135.16;3020500;1.7490
3034130;かつらぎ町丁ノ町;かつらぎちょうちょうのまち;Katsuragi Town Chono Town;34.30;135.50;3034100;1.1570
3034132;かつらぎ町花園梁瀬;かつらぎちょうはなぞのやなせ;Katsuragi Town Hanazonoyanase;34.14;135.52;3034100;0.5689
3034330;九度山町九度山;くどやまちょうくどやま;Kudoyama Town Kudoyama;34.29;135.56;3034300;0.8607
3034401;高野町高野山中学校;こうやちょうこうやさんちゅうがっこう;Koya Town Koyasan Middle School;34.22;135.59;3034400;0.5689
3034420;高野町役場;こうやちょうやくば;Koya Town Town Office;34.22;135.595;3034400;0.5689
3020100;和歌山市男野芝丁;わかやましおのしばちょう;Wakayama City Onoshibacho;34.23;135.16;3020100;1.4425
3036131;湯浅町青木;ゆあさちょうあおき;Yuasa Town Aoki;34.03;135.19;3036100;0.9594
3038130;和歌山美浜町和田;わかやまみはまちょうわだ;Wakayama Mihama Town Wada;33.89;135.13;3038100;1.4425
3038230;和歌山日高町高家;わかやまひだかちょうたいえ;Wakayama Hidaka Town Taie;33.93;135.14;3038200;2.0501
3038330;由良町里;ゆらちょうさと;Yura Town Sato;33.96;135.12;3038300;1.7490
3039032;和歌山印南町印南;わかやまいなみちょういなみ;Wakayama Inami Town Inami;33.82;135.22;3039000;0.9484
