depth,distance,p_time,s_time
0,0,0.0,0.0
0,2,0.416,0.703
0,4,0.831,1.403
0,6,1.243,2.099
0,8,1.65,2.786
0,10,2.052,3.465
0,12,2.448,4.135
0,14,2.838,4.794
0,16,3.221,5.444
0,18,3.6,6.084
0,20,3.972,6.715
0,22,4.34,7.338
0,24,4.703,7.954
0,26,5.062,8.564
0,28,5.418,9.167
0,30,5.771,9.766
0,32,6.121,10.36
0,34,6.469,10.951
0,36,6.816,11.54
0,38,7.162,12.127
0,40,7.507,12.713
0,42,7.852,13.298
0,44,8.196,13.882
0,46,8.539,14.465
0,48,8.883,15.047
0,50,9.226,15.63
0,55,10.083,17.085
0,60,10.939,18.538
0,65,11.792,19.99
0,70,12.644,21.438
0,75,13.492,22.884
0,80,14.338,24.325
0,85,15.18,25.763
0,90,16.018,27.196
0,95,16.853,28.625
0,100,17.683,30.048
0,105,18.509,31.467
0,110,19.331,32.879
0,115,20.147,34.283
0,120,20.959,35.682
0,125,21.766,37.073
0,130,22.566,38.457
0,135,23.357,39.834
0,140,24.137,41.196
0,145,24.904,42.546
0,150,25.667,43.879
0,155,26.416,45.193
0,160,27.148,46.503
0,165,27.868,47.786
0,170,28.579,49.045
0,175,29.283,50.286
0,180,29.979,51.516
0,185,30.671,52.736
0,190,31.36,53.944
0,195,32.04,55.145
0,200,32.717,56.345
0,210,34.057,58.712
0,220,35.385,61.056
0,230,36.703,63.381
0,240,38.012,65.691
0,250,39.316,67.989
0,260,40.617,70.277
0,270,41.914,72.561
0,280,43.209,74.839
0,290,44.502,77.114
0,300,45.792,79.387
0,310,47.081,81.657
0,320,48.368,83.924
0,330,49.654,86.19
0,340,50.938,88.455
0,350,52.221,90.717
0,360,53.502,92.979
0,370,54.781,95.24
0,380,56.059,97.498
0,390,57.336,99.756
0,400,58.612,102.013
0,410,59.887,104.27
0,420,61.161,106.527
0,430,62.434,108.781
0,440,63.707,111.033
0,450,64.978,113.285
0,460,66.248,115.537
0,470,67.517,117.789
0,480,68.785,120.04
0,490,70.052,122.29
0,500,71.319,124.539
0,510,72.585,126.788
0,520,73.851,129.036
0,530,75.115,131.285
0,540,76.379,133.533
0,550,77.642,135.782
0,560,78.904,138.03
0,570,80.166,140.278
0,580,81.427,142.525
0,590,82.689,144.772
0,600,83.95,147.019
0,610,85.21,149.266
0,620,86.47,151.511
0,630,87.73,153.757
0,640,88.989,156.002
0,650,90.248,158.247
0,660,91.506,160.491
0,670,92.763,162.735
0,680,94.021,164.979
0,690,95.278,167.222
0,700,96.536,169.465
0,710,97.793,171.708
0,720,99.05,173.951
0,730,100.307,176.193
0,740,101.564,178.435
0,750,102.821,180.677
0,760,104.077,182.919
0,770,105.333,185.162
0,780,106.59,187.404
0,790,107.845,189.644
0,800,109.101,191.885
0,810,110.356,194.125
0,820,111.612,196.365
0,830,112.867,198.605
0,840,114.121,200.845
0,850,115.373,203.085
0,860,116.623,205.325
0,870,117.873,207.565
0,880,119.121,209.805
0,890,120.369,212.045
0,900,121.617,214.285
0,910,122.864,216.525
0,920,124.11,218.765
0,930,125.356,221.005
0,940,126.601,223.245
0,950,127.846,225.485
0,960,129.09,227.724
0,970,130.333,229.964
0,980,131.577,232.203
0,990,132.819,234.443
0,1000,134.06,236.682
0,1010,135.302,238.922
